FIGHTER_ID,FIGHTER_NAME,FIGHTER_NICKNAME
5704,"Mario Bautista",
5705,"Nikita Krylov","The Miner"
5706,"Jimmie Rivera","El Terror"
5707,"Kevin Croom",Crash
5708,"Vince Cachero","The Anomaly"
5709,"Ronnie Lawrence","The Heat"
5710,"Maxim Grishin",Maximus
5711,"Eddie Wineland",
5712,"John Castaneda","Sexy Mexi"
5713,"Shana Dobson",Danger
5714,"Aiemann Zahabi",
5715,"Alexa Grasso",
5716,"Anthony Hernandez",Fluffy
5717,"Polyana Viana","Dama de Ferro"
5718,"Gabe Green",Gifted
5719,"Alistair Overeem","The Demolition Man"
5720,"Michael Johnson","The Menace"
5721,"Martin Day","The Spartan"
5722,"Antonio Carlos Junior","Cara de Sapato"
5723,"Sara McMann",
5724,"Nik Lentz","The Carny"
5725,"Amir Albazi","The Prince"
5726,"Mounir Lazzez","The Sniper"
5727,"Vinicius Moreira",Mamute
5728,"Tyson Nam",
5729,"Tom Breese",
5730,Sumudaerji,"The Tibetan Eagle"
5731,"Markus Perez",Maluko
5732,"Mike Davis","Beast Boy"
5733,"Umar Nurmagomedov",
5734,"Calvin Kattar",
5735,"Wu Yanan",Mulan
5736,"Sarah Moras",Cheesecake
5737,"Vanessa Melo",
5738,"Jacob Kilburn","The Killer"
5739,"Anthony Pettis",Showtime
5740,"Deron Winn",
5741,"Jimmy Flick","The Brick"
5742,"Carlton Minus",Clutch
5743,"Junior Dos Santos",Cigano
5744,"Peter Barrett",Slippery
5745,"Matt Wiman",
5746,"Jose Quinonez",Teco
5747,"Takashi Sato",Ten
5748,"Spike Carlyle","Alpha Ginger"
5749,"Ashlee Evans-Smith","Rebel Girl"
5750,"Rachael Ostovich",
5751,"Alex Perez",
5752,"Mauricio Rua",Shogun
5753,"Alan Jouban",Brahma
5754,"Louis Cosce",
5755,"Paul Felder","The Irish Dragon"
5756,"Rafael Dos Anjos",
5757,"Miranda Granger",Danger
5758,"Kay Hansen",
5759,"Cory McKenna","The Hobbit"
5760,"Geraldo de Freitas",Spartan
5761,"Rhys McKee",Skeletor
5762,"Claudia Gadelha",Claudinha
5763,"Bevon Lewis",
5764,"Eduardo Garagorri",
5765,"Anderson Silva","The Spider"
5766,"Bryce Mitchell","Thug Nasty"
5767,"Jack Marshman","The Hammer"
5768,"Cole Williams",Havoc
5769,"Justin Ledet","El Blanco"
5770,"Khabib Nurmagomedov","The Eagle"
5771,"Liliya Shakirova",
5772,"Stefan Struve",Skyscraper
5773,"Nathaniel Wood","The Prospect"
5774,"Alexander Yakovlev","Russian Thunder"
5775,"James Krause",The
5776,"Guram Kutateladze","Georgian Viking"
5777,"John Phillips","The Welsh Wrecking Machine"
5778,"Gadzhimurad Antigulov",
5779,"Said Nurmagomedov",
5780,"Mark Striegl",Mugen
5781,"Ali AlQaisi","The Royal Fighter"
5782,"Holly Holm","The Preacher&#039;s Daughter"
5783,"Germaine de Randamie","The Iron Lady"
5784,"Cameron Else",Camchida
5785,"Dequan Townsend","The Tarantula"
5786,"Jessin Ayari",
5787,"Alex Da Silva",Leko
5788,"Diego Sanchez",Nightmare
5789,"Jeff Hughes","Lights Out"
5790,"Khadis Ibragimov",
5791,"Mirsad Bektic",
5792,"Mara Romero Borella",
5793,"TJ Laramie",
5794,"Journey Newson",
5795,"Irwin Rivera","The Beast"
5796,"Ottman Azaitar",Bulldozer
5797,"Kyle Nelson","The Monster"
5798,"Brok Weaver","Chata Tuska"
5799,"Anthony Ivy",Aquaman
5800,"Zelim Imadaev",
5801,"Cole Smith","The Cole Train"
5802,"Ricardo Lamas","The Bully"
5803,"Zak Cummings",
5804,"Austin Springer",
5805,"Hannah Cifers",Shockwave
5806,"Inoue Mizuki",
5807,"Daniel Cormier",DC
5808,"Herbert Burns","The Blaze"
5809,"John Dodson","The Magician"
5810,"Felice Herrig","Lil Bulldog"
5811,"Frankie Saenz",
5812,"Rogerio Nogueira",Minotouro
5813,"Fabricio Werdum","Vai Cavalo"
5814,"Alexander Gustafsson","The Mauler"
5815,"Peter Sobotta",
5816,"Jesse Ronson","The Body Snatcher"
5817,"Raphael Pessoa",Bebezao
5818,"Nad Narimani",Smiler
5819,"Joe Duffy",Irish
5820,"Brett Johns","The Pikey"
5821,"Davi Ramos","Tasmanian Devil"
5822,"Chris Fishgold",
5823,"Aaron Phillips","The Dragon"
5824,"Paige VanZant","12 Gauge"
5825,"Danny Henry","The Hatchet"
5826,"Roman Bogatov",
5827,"Philipe Lins",Monstro
5828,"Lyman Good",Cyborg
5829,"Brianna Van Buren","The Bull"
5830,"Oskar Piechota",Imadlo
5831,"Frank Camacho","The Crank"
5832,"Max Rohskopf","Rated R"
5833,"Mark De La Rosa",Bumblebee
5834,"Anthony Rocco Martin",
5835,"Charles Byrd","Kid Dynamite"
5836,"Jussier Formiga",
5837,"Evan Dunham",
5838,"Blagoy Ivanov",Baga
5839,"Klidson Abreu","White Bear"
5840,"Ray Borg","The Tazmexican Devil"
5841,"Henry Cejudo","The Messenger"
5842,"Aleksei Kunchenko",
5843,"Enrique Barzola","El Fuerte"
5844,"Maryna Moroz","Iron Lady"
