,Nombres,Categoría,Record
0,ZARRUKH ADASHEV,Flyweight,4-3-0 (W-L-D)
1,AMIR ALBAZI,Flyweight,14-1-0 (W-L-D)
2,VICTOR ALTAMIRANO,Flyweight,1-1-0 (W-L-D)
3,JAIME ALVAREZ,Flyweight,7-1-0 (W-L-D)
4,JUAN ANDRES LUNA,Flyweight,0-0-0 (W-L-D)
5,ADAM ANTOLIN,Flyweight,13-3-0 (W-L-D)
6,ARMAN ASHIMOV,Flyweight,0-0-0 (W-L-D)
7,ASKAR ASKAROV,Flyweight,14-1-1 (W-L-D)
8,ALI BAGAUTINOV,Flyweight,14-5-0 (W-L-D)
9,DANIEL BAREZ,Flyweight,0-1-0 (W-L-D)
10,CHRIS BEAL,Flyweight,10-3-0 (W-L-D)
11,MARCO BELTRAN,Flyweight,8-7-0 (W-L-D)
12,JOSEPH BENAVIDEZ,Flyweight,28-8-0 (W-L-D)
13,RYAN BENOIT,Flyweight,10-8-0 (W-L-D)
14,MAGOMED BIBULATOV,Flyweight,14-2-0 (W-L-D)
15,DENYS BONDAR,Flyweight,16-4-0 (W-L-D)
16,ROGERIO BONTORIN,Flyweight,17-4-0 (W-L-D)
17,JARRED BROOKS,Flyweight,14-2-0 (W-L-D)
18,RICKY CALATAYUD,Flyweight,0-0-0 (W-L-D)
19,WILL CAMPUZANO,Flyweight,13-6-0 (W-L-D)
20,CHICO CAMUS,Flyweight,14-7-0 (W-L-D)
21,CARLOS CANDELARIO,Flyweight,8-1-0 (W-L-D)
22,RONALDO CANDIDO,Flyweight,5-2-0 (W-L-D)
23,CHRIS CARIASO,Flyweight,17-8-0 (W-L-D)
24,CLAYTON CARPENTER,Flyweight,0-0-0 (W-L-D)
25,ALESSANDRO COSTA,Flyweight,0-0-0 (W-L-D)
26,EMILIO CUELLAR,Flyweight,0-0-0 (W-L-D)
27,SANTO CURATOLO,Flyweight,0-1-0 (W-L-D)
28,RAFAEL DE FREITAS,Flyweight,0-0-0 (W-L-D)
29,CARLS JOHN DE TOMAS,Flyweight,8-2-0 (W-L-D)
30,OLEKSANDR DOSKALCHUK,Flyweight,10-2-0 (W-L-D)
31,CODY DURDEN,Flyweight,12-4-1 (W-L-D)
32,RILEY DUTRO,Flyweight,14-4-0 (W-L-D)
33,DAVID DVORAK,Flyweight,20-4-0 (W-L-D)
34,TIM ELLIOTT,Flyweight,19-12-1 (W-L-D)
35,STEVEN ERCZEG,Flyweight,0-0-0 (W-L-D)
36,JORDAN ESPINOSA,Flyweight,15-9-0 (W-L-D)
37,JOSH FERGUSON,Flyweight,7-5-0 (W-L-D)
38,ERISSON FERREIRA DA SILVA,Flyweight,0-0-0 (W-L-D)
39,DEIVESON FIGUEIREDO,Flyweight,21-2-1 (W-L-D)
40,FRANCISCO FIGUEIREDO,Flyweight,12-4-1 (W-L-D)
41,JIMMY FLICK,Flyweight,16-5-0 (W-L-D)
42,JUSSIER FORMIGA,Flyweight,23-8-0 (W-L-D)
43,KAI KARA FRANCE,Flyweight,24-9-0 (W-L-D)
44,GUSTAVO GABRIEL,Flyweight,0-0-0 (W-L-D)
45,CODY GARBRANDT,Flyweight,12-5-0 (W-L-D)
46,ELIAS GARCIA,Flyweight,6-2-0 (W-L-D)
47,AZAMAT GASHIMOV,Flyweight,10-3-0 (W-L-D)
48,WILLIE GATES,Flyweight,12-7-0 (W-L-D)
49,LOUIS GAUDINOT,Flyweight,6-4-0 (W-L-D)
50,ULYSSES GOMEZ,Flyweight,9-4-0 (W-L-D)
51,MALCOLM GORDON,Flyweight,14-5-0 (W-L-D)
52,KEVIN GRAY,Flyweight,9-4-0 (W-L-D)
53,JAKE HADLEY,Flyweight,0-0-0 (W-L-D)
54,CJ HAMILTON,Flyweight,11-5-0 (W-L-D)
55,PHIL HARRIS,Flyweight,22-12-0 (W-L-D)
56,CARLOS HERNANDEZ,Flyweight,8-1-0 (W-L-D)
57,GEANE HERRERA,Flyweight,9-3-0 (W-L-D)
58,PADDY HOLOHAN,Flyweight,12-2-1 (W-L-D)
59,KYOJI HORIGUCHI,Flyweight,18-2-0 (W-L-D)
60,SHANE HOWELL,Flyweight,13-9-0 (W-L-D)
61,NAOKI INOUE,Flyweight,11-0-0 (W-L-D)
62,ALVARO IVAN LOPEZ RODRIGUES,Flyweight,0-0-0 (W-L-D)
63,DEMETRIOUS JOHNSON,Flyweight,27-3-1 (W-L-D)
64,CHARLES JOHNSON,Flyweight,0-0-0 (W-L-D)
65,MANEL KAPE,Flyweight,17-6-0 (W-L-D)
66,CHRIS KELADES,Flyweight,9-3-0 (W-L-D)
67,BRUNO KOREA,Flyweight,4-3-0 (W-L-D)
68,DANIEL LACERDA,Flyweight,11-2-0 (W-L-D)
69,JENEL LAUSA,Flyweight,7-4-0 (W-L-D)
70,QIU LUN,Flyweight,0-0-0 (W-L-D)
71,ZACH MAKOVSKY,Flyweight,19-8-0 (W-L-D)
72,GARY MANGAT,Flyweight,0-0-0 (W-L-D)
73,JOSE MARIA,Flyweight,33-5-0 (W-L-D)
74,DANNY MARTINEZ,Flyweight,18-7-0 (W-L-D)
75,TATEKI MATSUDA,Flyweight,10-7-0 (W-L-D)
76,IAN MCCALL,Flyweight,13-5-1 (W-L-D)
77,PIETRO MENGA,Flyweight,13-0-0 (W-L-D)
78,MUHAMMAD MOKAEV,Flyweight,7-0-0 (W-L-D)
79,ASHKAN MOKHTARIAN,Flyweight,13-3-0 (W-L-D)
80,JEFFREY MOLINA,Flyweight,10-2-0 (W-L-D)
81,DARRELL MONTAGUE,Flyweight,13-5-0 (W-L-D)
82,JOHN MORAGA,Flyweight,19-7-0 (W-L-D)
83,JOSEPH MORALES,Flyweight,9-2-0 (W-L-D)
84,BRANDON MORENO,Flyweight,19-6-2 (W-L-D)
85,TYSON NAM,Flyweight,20-12-1 (W-L-D)
86,ALLAN NASCIMENTO,Flyweight,17-6-0 (W-L-D)
87,BEN NGUYEN,Flyweight,17-8-0 (W-L-D)
88,MATHEUS NICOLAU,Flyweight,18-3-1 (W-L-D)
89,DUSTIN ORTIZ,Flyweight,19-8-0 (W-L-D)
90,ODE' OSBOURNE,Flyweight,10-4-0 (W-L-D)
91,ALPTEKIN OZKILIC,Flyweight,9-3-0 (W-L-D)
92,ALEXANDRE PANTOJA,Flyweight,24-5-0 (W-L-D)
93,JARED PAPAZIAN,Flyweight,14-9-0 (W-L-D)
94,ALEX PEREZ,Flyweight,24-6-0 (W-L-D)
95,JUAN PUERTA,Flyweight,1-0-0 (W-L-D)
96,MITCH RAPOSO,Flyweight,0-0-0 (W-L-D)
97,WILSON REIS,Flyweight,23-10-0 (W-L-D)
98,JON DELOS REYES,Flyweight,8-5-0 (W-L-D)
99,JEROME RIVERA,Flyweight,10-6-0 (W-L-D)
100,KLEIDISON RODRIGUES,Flyweight,1-0-0 (W-L-D)
101,VICTOR RODRIGUEZ,Flyweight,7-4-0 (W-L-D)
102,LUIS RODRIGUEZ,Flyweight,0-1-0 (W-L-D)
103,MARA ROMERO BORELLA,Flyweight,12-9-0 (W-L-D)
104,JUANCAMILO RONDEROS,Flyweight,4-1-0 (W-L-D)
105,SHANNON ROSS,Flyweight,0-0-0 (W-L-D)
106,BRANDON ROYVAL,Flyweight,13-6-0 (W-L-D)
107,VINICIUS SALVADOR,Flyweight,0-0-0 (W-L-D)
108,JOSH SAMPO,Flyweight,11-5-0 (W-L-D)
109,ROBERTO SANCHEZ,Flyweight,8-2-0 (W-L-D)
110,HECTOR SANDOVAL,Flyweight,14-4-0 (W-L-D)
111,ROLDAN SANGCHA-AN,Flyweight,4-2-0 (W-L-D)
112,SEAN SANTELLA,Flyweight,0-0-0 (W-L-D)
113,ILIARDE SANTOS,Flyweight,27-9-1 (W-L-D)
114,ULKA SASAKI,Flyweight,20-6-2 (W-L-D)
115,MATT SCHNELL,Flyweight,15-5-0 (W-L-D)
116,JUSTIN SCOGGINS,Flyweight,11-5-0 (W-L-D)
117,NEIL SEERY,Flyweight,16-13-0 (W-L-D)
118,FREDY SERRANO,Flyweight,3-2-0 (W-L-D)
119,ERIC SHELTON,Flyweight,12-6-0 (W-L-D)
120,JACOB SILVA,Flyweight,0-2-0 (W-L-D)
121,BRUNO SILVA,Flyweight,12-5-2 (W-L-D)
122,NATE SMITH,Flyweight,0-1-0 (W-L-D)
123,SUMUDAERJI,Flyweight,16-4-0 (W-L-D)
124,BENTLEY SYLER,Flyweight,5-1-0 (W-L-D)
125,TATSURO TAIRA,Flyweight,0-0-0 (W-L-D)
126,NOLAN TICMAN,Flyweight,4-3-0 (W-L-D)
127,JOSE TORRES,Flyweight,8-1-0 (W-L-D)
128,TAGIR ULANBEKOV,Flyweight,14-2-0 (W-L-D)
129,NICK URSO,Flyweight,10-4-0 (W-L-D)
130,YASUHIRO URUSHITANI,Flyweight,19-6-6 (W-L-D)
131,DARREN UYENOYAMA,Flyweight,8-5-0 (W-L-D)
132,RICHIE VACULIK,Flyweight,10-5-0 (W-L-D)
133,RICHIE VACULIK,Flyweight,0-0-0 (W-L-D)
134,MANNY VAZQUEZ,Flyweight,11-2-0 (W-L-D)
135,CJ VERGARA,Flyweight,9-3-1 (W-L-D)
136,MARCOS VINICIUS,Flyweight,20-6-1 (W-L-D)
137,SHANG ZHIFA,Flyweight,0-0-0 (W-L-D)
138,YAO ZHIKUI,Flyweight,2-5-0 (W-L-D)
139,ZHALGAS ZHUMAGULOV,Flyweight,14-6-0 (W-L-D)
140,ALI AL-QAISI,Bantamweight,8-5-0 (W-L-D)
141,ALATENGHEILI,Bantamweight,15-8-1 (W-L-D)
142,JOHN ALBERT,Bantamweight,7-5-0 (W-L-D)
143,IURI ALCANTARA,Bantamweight,35-10-0 (W-L-D)
144,JOSE ALDAY,Bantamweight,0-1-0 (W-L-D)
145,JOSÉ ALDO,Bantamweight,31-7-0 (W-L-D)
146,THOMAS ALMEIDA,Bantamweight,22-5-0 (W-L-D)
147,CHAD ANHELIGER,Bantamweight,2-0-0 (W-L-D)
148,AORIQILENG,Bantamweight,18-9-0 (W-L-D)
149,FELIPE ARANTES,Bantamweight,18-9-1 (W-L-D)
150,JULIO ARCE,Bantamweight,18-5-0 (W-L-D)
151,RAPHAEL ASSUNCAO,Bantamweight,27-9-0 (W-L-D)
152,HUNTER AZURE,Bantamweight,9-2-0 (W-L-D)
153,ANTONIO BANUELOS,Bantamweight,19-7-0 (W-L-D)
154,RENAN BARAO,Bantamweight,36-9-0 (W-L-D)
155,RAONI BARCELOS,Bantamweight,16-3-0 (W-L-D)
156,JAMES BARNES,Bantamweight,0-1-0 (W-L-D)
157,ENRIQUE BARZOLA,Bantamweight,17-5-2 (W-L-D)
158,JAVID BASHARAT,Bantamweight,12-0-0 (W-L-D)
159,FARID BASHARAT,Bantamweight,0-0-0 (W-L-D)
160,MARIO BAUTISTA,Bantamweight,9-2-0 (W-L-D)
161,JOHNNY BEDFORD,Bantamweight,19-13-1 (W-L-D)
162,MANNY BERMUDEZ,Bantamweight,14-2-0 (W-L-D)
163,ANTHONY BIRCHAK,Bantamweight,16-8-0 (W-L-D)
164,BYRON BLOODWORTH,Bantamweight,6-3-0 (W-L-D)
165,RAY BORG,Bantamweight,13-5-0 (W-L-D)
166,BRIAN BOWLES,Bantamweight,10-3-0 (W-L-D)
167,MARCUS BRIMAGE,Bantamweight,7-5-0 (W-L-D)
168,HENRY BRIONES,Bantamweight,19-8-1 (W-L-D)
169,WULIJI BUREN,Bantamweight,10-7-0 (W-L-D)
170,JP BUYS,Bantamweight,9-4-0 (W-L-D)
171,VINCE CACHERO,Bantamweight,7-4-0 (W-L-D)
172,RICKY CAMP,Bantamweight,0-0-0 (W-L-D)
173,GUIDO CANNETTI,Bantamweight,9-7-0 (W-L-D)
174,PAUL CAPALDO,Bantamweight,0-0-0 (W-L-D)
175,PHIL CARACAPPA,Bantamweight,0-0-0 (W-L-D)
176,BRYAN CARAWAY,Bantamweight,21-10-0 (W-L-D)
177,JOHN CASTANEDA,Bantamweight,19-5-0 (W-L-D)
178,HENRY CEJUDO,Bantamweight,16-2-0 (W-L-D)
179,FELIPE COLARES,Bantamweight,10-3-0 (W-L-D)
180,REYES CORTEZ,Bantamweight,0-0-0 (W-L-D)
181,RANDY COSTA,Bantamweight,6-3-0 (W-L-D)
182,KEVIN CROOM,Bantamweight,21-15-0 (W-L-D)
183,DOMINICK CRUZ,Bantamweight,24-3-0 (W-L-D)
184,JEFF CURRAN,Bantamweight,35-15-1 (W-L-D)
185,BATGEREL DANAA,Bantamweight,12-3-0 (W-L-D)
186,BRANDON DAVIS,Bantamweight,14-9-0 (W-L-D)
187,GERALDO DE FREITAS JR.,Bantamweight,12-6-0 (W-L-D)
188,MARK DE LA ROSA,Bantamweight,11-5-0 (W-L-D)
189,ROLAND DELORME,Bantamweight,9-4-0 (W-L-D)
190,NICK DENIS,Bantamweight,11-3-0 (W-L-D)
191,TJ DILLASHAW,Bantamweight,18-4-0 (W-L-D)
192,RICO DISCIULLO,Bantamweight,9-3-0 (W-L-D)
193,RUSSELL DOANE,Bantamweight,15-8-0 (W-L-D)
194,JOHN DODSON,Bantamweight,22-12-0 (W-L-D)
195,ANDERSON DOS SANTOS,Bantamweight,21-9-0 (W-L-D)
196,TOM DUQUESNOY,Bantamweight,15-2-0 (W-L-D)
197,REUBEN DURAN,Bantamweight,8-5-1 (W-L-D)
198,MERAB DVALISHVILI,Bantamweight,14-4-0 (W-L-D)
199,MIKE EASTON,Bantamweight,13-5-0 (W-L-D)
200,FRANKIE EDGAR,Bantamweight,23-10-1 (W-L-D)
201,JOHNNY EDUARDO,Bantamweight,28-13-0 (W-L-D)
202,CAMERON ELSE,Bantamweight,10-5-0 (W-L-D)
203,IAN ENTWISTLE,Bantamweight,9-3-0 (W-L-D)
204,COLE ESCOVEDO,Bantamweight,17-9-0 (W-L-D)
205,URIJAH FABER,Bantamweight,35-11-0 (W-L-D)
206,PEDRO FALCAO,Bantamweight,1-0-0 (W-L-D)
207,BIBIANO FERNANDES,Bantamweight,0-0-0 (W-L-D)
208,EDWIN FIGUEROA,Bantamweight,9-4-0 (W-L-D)
209,ROB FONT,Bantamweight,19-5-0 (W-L-D)
210,DONAVON FRELOW,Bantamweight,6-3-0 (W-L-D)
211,MITCH GAGNON,Bantamweight,12-5-0 (W-L-D)
212,DAVE GALERA,Bantamweight,5-1-0 (W-L-D)
213,MANNY GAMBURYAN,Bantamweight,18-11-0 (W-L-D)
214,FERNIE GARCIA,Bantamweight,1-0-0 (W-L-D)
215,CODY GIBSON,Bantamweight,12-6-0 (W-L-D)
216,JOEY GOMEZ,Bantamweight,6-2-0 (W-L-D)
217,TIM GORMAN,Bantamweight,9-4-0 (W-L-D)
218,DAVEY GRANT,Bantamweight,13-6-0 (W-L-D)
219,TONY GRAVELY,Bantamweight,22-7-0 (W-L-D)
220,JAMES GRAY,Bantamweight,4-2-0 (W-L-D)
221,NING GUANGYOU,Bantamweight,6-4-1 (W-L-D)
222,CHRIS GUTIERREZ,Bantamweight,17-3-2 (W-L-D)
223,VICTOR HENRY,Bantamweight,22-5-0 (W-L-D)
224,NOHELIN HERNANDEZ,Bantamweight,10-4-0 (W-L-D)
225,JUNIOR HERNANDEZ,Bantamweight,14-6-0 (W-L-D)
226,BRADY HIESTAND,Bantamweight,6-2-0 (W-L-D)
227,MATT HOBAR,Bantamweight,9-3-0 (W-L-D)
228,CHRIS HOLDSWORTH,Bantamweight,7-0-0 (W-L-D)
229,JEFF HOUGLAND,Bantamweight,10-6-0 (W-L-D)
230,CARLOS HUACHIN,Bantamweight,10-5-1 (W-L-D)
231,BRADY HUANG,Bantamweight,11-2-0 (W-L-D)
232,TERUTO ISHIHARA,Bantamweight,11-6-2 (W-L-D)
233,LEANDRO ISSA,Bantamweight,13-6-0 (W-L-D)
234,YVES JABOUIN,Bantamweight,20-11-0 (W-L-D)
235,MONTEL JACKSON,Bantamweight,12-2-0 (W-L-D)
236,MILES JOHNS,Bantamweight,12-2-0 (W-L-D)
237,BRETT JOHNS,Bantamweight,17-2-0 (W-L-D)
238,JOSE JOHNSON,Bantamweight,0-1-0 (W-L-D)
239,TREVIN JONES,Bantamweight,13-8-0 (W-L-D)
240,SCOTT JORGENSEN,Bantamweight,15-12-0 (W-L-D)
241,DWIGHT JOSEPH,Bantamweight,0-0-0 (W-L-D)
242,ORON KAHLON,Bantamweight,0-1-0 (W-L-D)
243,SIRWAN KAKAI,Bantamweight,12-3-0 (W-L-D)
244,SAIDYOKUB KAKHRAMONOV,Bantamweight,9-2-0 (W-L-D)
245,BHARAT KANDARE,Bantamweight,5-3-0 (W-L-D)
246,MASANORI KANEHARA,Bantamweight,25-13-5 (W-L-D)
247,KYUNG HO KANG,Bantamweight,17-9-0 (W-L-D)
248,BRAD KATONA,Bantamweight,9-2-0 (W-L-D)
249,TONY KELLEY,Bantamweight,8-2-0 (W-L-D)
250,CASEY KENNEY,Bantamweight,16-4-1 (W-L-D)
251,CASEY KENNEY,Bantamweight,0-0-0 (W-L-D)
252,ALFRED KHASHAKYAN,Bantamweight,8-4-0 (W-L-D)
253,DUSTIN KIMURA,Bantamweight,12-3-0 (W-L-D)
254,KWAN HO KWAK,Bantamweight,9-2-0 (W-L-D)
255,TAYLOR LAPILUS,Bantamweight,11-2-0 (W-L-D)
256,RONNIE LAWRENCE,Bantamweight,8-1-0 (W-L-D)
257,ZVIAD LAZISHVILI,Bantamweight,13-1-0 (W-L-D)
258,VAUGHAN LEE,Bantamweight,14-11-1 (W-L-D)
259,CHEYDEN LEIALOHA,Bantamweight,6-1-0 (W-L-D)
260,ANTHONY LEONE,Bantamweight,0-0-0 (W-L-D)
261,BRANDON LEWIS,Bantamweight,0-1-0 (W-L-D)
262,JOHN LINEKER,Bantamweight,31-9-0 (W-L-D)
263,PINGYUAN LIU,Bantamweight,13-7-0 (W-L-D)
264,DILENO LOPES,Bantamweight,19-3-0 (W-L-D)
265,GUSTAVO LOPEZ,Bantamweight,12-6-1 (W-L-D)
266,MATTHEW LOPEZ,Bantamweight,10-5-0 (W-L-D)
267,BENITO LOPEZ,Bantamweight,10-1-0 (W-L-D)
268,IAN LOVELAND,Bantamweight,14-9-0 (W-L-D)
269,RYAN MACDONALD,Bantamweight,10-2-0 (W-L-D)
270,NATE MANESS,Bantamweight,14-1-0 (W-L-D)
271,MANA MARTINEZ,Bantamweight,9-3-0 (W-L-D)
272,MICHAEL MCDONALD,Bantamweight,17-4-0 (W-L-D)
273,AUGUSTO MENDES,Bantamweight,6-2-0 (W-L-D)
274,MO MILLER,Bantamweight,1-0-0 (W-L-D)
275,TAKEYA MIZUGAKI,Bantamweight,21-11-2 (W-L-D)
276,ALBERTO MONTES,Bantamweight,0-0-0 (W-L-D)
277,TAYLOR MOORE,Bantamweight,0-1-0 (W-L-D)
278,MARLON MORAES,Bantamweight,23-10-1 (W-L-D)
279,VINCE MORALES,Bantamweight,11-6-0 (W-L-D)
280,LEONARDO MORALES,Bantamweight,5-2-0 (W-L-D)
281,ALBERT MORALES,Bantamweight,7-4-1 (W-L-D)
282,SERGEY MOROZOV,Bantamweight,17-5-0 (W-L-D)
283,KRIS MOUTINHO,Bantamweight,9-6-0 (W-L-D)
284,PEDRO MUNHOZ,Bantamweight,19-7-0 (W-L-D)
285,JOHNNY MUNOZ,Bantamweight,11-1-0 (W-L-D)
286,KEVIN NATIVIDAD,Bantamweight,9-3-0 (W-L-D)
287,JOURNEY NEWSON,Bantamweight,9-3-0 (W-L-D)
288,PEDRO NOBRE,Bantamweight,14-1-2 (W-L-D)
289,ALEXANDRE NOGUEIRA,Bantamweight,13-4-2 (W-L-D)
290,SAID NURMAGOMEDOV,Bantamweight,15-2-0 (W-L-D)
291,SEAN O'MALLEY,Bantamweight,15-1-0 (W-L-D)
292,CHRISTIAN OCON,Bantamweight,4-0-0 (W-L-D)
293,SAIMON OLIVEIRA,Bantamweight,18-4-0 (W-L-D)
294,NICK PACE,Bantamweight,6-3-0 (W-L-D)
295,DUSTIN PAGUE,Bantamweight,11-10-0 (W-L-D)
296,RAULIAN PAIVA,Bantamweight,21-4-0 (W-L-D)
297,FILIP PEJIC,Bantamweight,10-2-0 (W-L-D)
298,ERIK PEREZ,Bantamweight,16-6-0 (W-L-D)
299,JAY PERRIN,Bantamweight,0-1-0 (W-L-D)
300,SERGIO PETTIS,Bantamweight,18-5-0 (W-L-D)
301,NAM PHAN,Bantamweight,18-14-0 (W-L-D)
302,KYLER PHILLIPS,Bantamweight,10-2-0 (W-L-D)
303,AARON PHILLIPS,Bantamweight,12-4-0 (W-L-D)
304,BRAD PICKETT,Bantamweight,26-14-0 (W-L-D)
305,DOMINGO PILARTE,Bantamweight,8-3-0 (W-L-D)
306,GAETANO PIRRELLO,Bantamweight,15-7-1 (W-L-D)
307,GRIGORY POPOV,Bantamweight,13-3-0 (W-L-D)
308,JOSE QUINONEZ,Bantamweight,9-5-0 (W-L-D)
309,CHRISTIAN QUIÑONEZ,Bantamweight,1-0-0 (W-L-D)
310,JASON REINHARDT,Bantamweight,20-3-0 (W-L-D)
311,DIEGO RIVAS,Bantamweight,7-2-0 (W-L-D)
312,IRWIN RIVERA,Bantamweight,10-6-0 (W-L-D)
313,JIMMIE RIVERA,Bantamweight,23-5-0 (W-L-D)
314,FRANCISCO RIVERA,Bantamweight,11-7-0 (W-L-D)
315,DRAKO RODRIGUEZ,Bantamweight,7-3-0 (W-L-D)
316,RAY RODRIGUEZ,Bantamweight,16-8-0 (W-L-D)
317,MARCELO ROJO,Bantamweight,16-9-0 (W-L-D)
318,GEORGE ROOP,Bantamweight,15-13-1 (W-L-D)
319,DANNY SABATELLO,Bantamweight,1-0-0 (W-L-D)
320,FRANKIE SAENZ,Bantamweight,13-7-0 (W-L-D)
321,ROMAN SALAZAR,Bantamweight,9-4-0 (W-L-D)
322,BOSTON SALMON,Bantamweight,6-3-0 (W-L-D)
323,JOBY SANCHEZ,Bantamweight,11-4-0 (W-L-D)
324,JERROD SANDERS,Bantamweight,15-3-0 (W-L-D)
325,CORY SANDHAGEN,Bantamweight,14-4-0 (W-L-D)
326,JOSEPH SANDOVAL,Bantamweight,6-2-0 (W-L-D)
327,RICHIE SANTIAGO,Bantamweight,7-1-0 (W-L-D)
328,DANIEL SANTOS,Bantamweight,0-1-0 (W-L-D)
329,SHUNICHI SHIMIZU,Bantamweight,28-9-10 (W-L-D)
330,LIUDVIK SHOLINIAN,Bantamweight,9-3-0 (W-L-D)
331,JACK SHORE,Bantamweight,16-0-0 (W-L-D)
332,GABRIEL SILVA,Bantamweight,7-2-0 (W-L-D)
333,DOUGLAS SILVA DE ANDRADE,Bantamweight,28-4-0 (W-L-D)
334,JAMEY SIMMONS,Bantamweight,7-4-0 (W-L-D)
335,RICKY SIMON,Bantamweight,19-3-0 (W-L-D)
336,COLE SMITH,Bantamweight,7-2-0 (W-L-D)
337,LOUIS SMOLKA,Bantamweight,17-8-0 (W-L-D)
338,JOE SOTO,Bantamweight,18-7-0 (W-L-D)
339,ALEX SOTO,Bantamweight,6-2-1 (W-L-D)
340,ANDRE SOUKHAMTHATH,Bantamweight,13-8-0 (W-L-D)
341,WILLIAN SOUZA,Bantamweight,0-0-0 (W-L-D)
342,CODY STAMANN,Bantamweight,19-5-1 (W-L-D)
343,DAMIAN STASIAK,Bantamweight,10-6-0 (W-L-D)
344,RICKY STEELE,Bantamweight,0-0-0 (W-L-D)
345,ALJAMAIN STERLING,Bantamweight,21-3-0 (W-L-D)
346,KEN STONE,Bantamweight,11-4-0 (W-L-D)
347,JESSE STRADER,Bantamweight,5-3-0 (W-L-D)
348,KHALID TAHA,Bantamweight,13-4-0 (W-L-D)
349,ISSEI TAMURA,Bantamweight,7-4-0 (W-L-D)
350,MICHINORI TANAKA,Bantamweight,11-3-0 (W-L-D)
351,MOTONOBU TEZUKA,Bantamweight,19-6-4 (W-L-D)
352,MIGUEL ANGEL TORRES,Bantamweight,39-5-0 (W-L-D)
353,DESMOND TORRES,Bantamweight,0-0-0 (W-L-D)
354,JUMABIEKE TUERXUN,Bantamweight,17-3-0 (W-L-D)
355,MAIMAITI TUOHATI,Bantamweight,0-0-0 (W-L-D)
356,RICKY TURCIOS,Bantamweight,12-2-0 (W-L-D)
357,CHARLIE VALENCIA,Bantamweight,12-7-0 (W-L-D)
358,TIMUR VALIEV,Bantamweight,18-3-0 (W-L-D)
359,MARLON VERA,Bantamweight,18-7-1 (W-L-D)
360,HUGO VIANA,Bantamweight,8-4-0 (W-L-D)
361,REGINALDO VIEIRA,Bantamweight,14-5-0 (W-L-D)
362,ARMANDO VILLARREAL,Bantamweight,5-1-0 (W-L-D)
363,DONNY WALKER,Bantamweight,14-8-0 (W-L-D)
364,TERRION WARE,Bantamweight,17-8-0 (W-L-D)
365,WALEL WATSON,Bantamweight,9-5-0 (W-L-D)
366,ROYSTON WEE,Bantamweight,4-1-0 (W-L-D)
367,JOSH WEEMS,Bantamweight,0-1-0 (W-L-D)
368,PATRICK WILLIAMS,Bantamweight,8-7-0 (W-L-D)
369,EDDIE WINELAND,Bantamweight,24-15-1 (W-L-D)
370,NATHANIEL WOOD,Bantamweight,17-5-0 (W-L-D)
371,SONG YADONG,Bantamweight,19-6-1 (W-L-D)
372,RANI YAHYA,Bantamweight,28-10-1 (W-L-D)
373,NORIFUMI YAMAMOTO,Bantamweight,18-6-0 (W-L-D)
374,PETR YAN,Bantamweight,16-3-0 (W-L-D)
375,ADRIAN YANEZ,Bantamweight,15-3-0 (W-L-D)
376,AIEMANN ZAHABI,Bantamweight,8-2-0 (W-L-D)
377,KEVIN AGUILAR,Featherweight,17-5-0 (W-L-D)
378,JIM ALERS,Featherweight,13-3-0 (W-L-D)
379,BILL ALGEO,Featherweight,15-6-0 (W-L-D)
380,ARNOLD ALLEN,Featherweight,18-1-0 (W-L-D)
381,MAKWAN AMIRKHANI,Featherweight,17-7-0 (W-L-D)
382,COLLIN ANGLIN,Featherweight,8-3-0 (W-L-D)
383,AUSTIN ARNETT,Featherweight,16-6-0 (W-L-D)
384,ASKAR ASKAR,Featherweight,11-1-0 (W-L-D)
385,KHUSEIN ASKHABOV,Featherweight,0-0-0 (W-L-D)
386,JUNIOR ASSUNCAO,Featherweight,14-5-0 (W-L-D)
387,CHRIS AVILA,Featherweight,5-4-0 (W-L-D)
388,NIKLAS BACKSTROM,Featherweight,8-2-0 (W-L-D)
389,MELSIK BAGHDASARYAN,Featherweight,3-0-0 (W-L-D)
390,HUMBERTO BANDENAY,Featherweight,14-7-0 (W-L-D)
391,EDSON BARBOZA,Featherweight,22-11-0 (W-L-D)
392,PETER BARRETT,Featherweight,11-5-0 (W-L-D)
393,STEPHEN BASS,Featherweight,10-1-0 (W-L-D)
394,MIRSAD BEKTIC,Featherweight,13-4-0 (W-L-D)
395,GABRIEL BENITEZ,Featherweight,22-11-0 (W-L-D)
396,MATT BESSETTE,Featherweight,22-9-0 (W-L-D)
397,JONAS BILHARINHO,Featherweight,1-0-0 (W-L-D)
398,XIE BIN,Featherweight,0-0-0 (W-L-D)
399,MAXIMO BLANCO,Featherweight,12-8-1 (W-L-D)
400,KYLE BOCHNIAK,Featherweight,8-5-0 (W-L-D)
401,DIEGO BRANDAO,Featherweight,24-11-0 (W-L-D)
402,MARTIN BRAVO,Featherweight,12-3-0 (W-L-D)
403,JOANDERSON BRITO,Featherweight,12-3-1 (W-L-D)
404,HUMBERTO BROWN,Featherweight,4-5-0 (W-L-D)
405,MIKE BROWN,Featherweight,26-9-0 (W-L-D)
406,SHANE BURGOS,Featherweight,14-3-0 (W-L-D)
407,MADS BURNELL,Featherweight,9-3-0 (W-L-D)
408,HERBERT BURNS,Featherweight,11-3-0 (W-L-D)
