,Name,Category,Record,Style
116,THIAGO MOISES,Lightweight,15-6-0 (W-L-D),MMA
117,JEFFREY MOLINA,Flyweight,10-2-0 (W-L-D),MMA
118,MARLON MORAES,Bantamweight,23-10-1 (W-L-D),MMA
119,SARAH MORAS,Women's Bantamweight,6-8-0 (W-L-D),MMA
120,VINICIUS MOREIRA,Light Heavyweight,9-5-0 (W-L-D),MMA
121,DAN MORET,Lightweight,13-6-0 (W-L-D),MMA
122,ANDRE MUNIZ,Middleweight,22-4-0 (W-L-D),MMA
123,MAKHMUD MURADOV,Middleweight,25-7-0 (W-L-D),MMA
124,LAUREN MURPHY,Women's Flyweight,15-5-0 (W-L-D),MMA
125,AZAMAT MURZAKANOV,Light Heavyweight,11-0-0 (W-L-D),MMA
126,MAGOMED MUSTAFAEV,Lightweight,14-4-0 (W-L-D),MMA
127,ROSE NAMAJUNAS,Women's Strawweight,12-5-0 (W-L-D),MMA
128,CHIDI NJOKUANI,Middleweight,21-7-0 (W-L-D),MMA
129,SAID NURMAGOMEDOV,Bantamweight,15-2-0 (W-L-D),MMA
130,UMAR NURMAGOMEDOV,Featherweight,14-0-0 (W-L-D),MMA
131,CASEY O'NEILL,Women's Flyweight,9-0-0 (W-L-D),MMA
132,CHRISTIAN OCON,Bantamweight,4-0-0 (W-L-D),MMA
133,MICHAL OLEKSIEJCZUK,Light Heavyweight,16-5-0 (W-L-D),MMA
134,GADZHI OMARGADZHIEV,Middleweight,13-1-0 (W-L-D),MMA
135,ALISTAIR OVEREEM,Heavyweight,47-19-0 (W-L-D),MMA
136,SASHA PALATNIKOV,Welterweight,6-4-0 (W-L-D),MMA
137,ALEXANDRE PANTOJA,Flyweight,24-5-0 (W-L-D),MMA
138,PRESTON PARSONS,Welterweight,10-3-0 (W-L-D),MMA
139,RAMONA PASCUAL,Women's Bantamweight,6-3-0 (W-L-D),MMA
140,SERGEI PAVLOVICH,Heavyweight,15-1-0 (W-L-D),MMA
141,JONATHAN PEARCE,Featherweight,12-4-0 (W-L-D),MMA
142,TYSON PEDRO,Light Heavyweight,8-3-0 (W-L-D),MMA
143,LUIS PENA,Lightweight,9-3-0 (W-L-D),MMA
144,STEVEN PETERSON,Featherweight,19-10-0 (W-L-D),MMA
145,PARKER PORTER,Heavyweight,13-6-0 (W-L-D),MMA
146,BILLY QUARANTILLO,Featherweight,16-4-0 (W-L-D),MMA
147,STEVIE RAY,Lightweight,23-9-0 (W-L-D),MMA
148,STEVE REGMAN,Middleweight,9-3-0 (W-L-D),MMA
149,JIMMIE RIVERA,Bantamweight,23-5-0 (W-L-D),MMA
150,KALI ROBBINS,Women's Strawweight,6-2-0 (W-L-D),MMA
151,GILLIAN ROBERTSON,Women's Flyweight,10-7-0 (W-L-D),MMA
152,LUKE ROCKHOLD,Light Heavyweight,16-5-0 (W-L-D),MMA
153,MARCELO ROJO,Bantamweight,16-9-0 (W-L-D),MMA
154,JUANCAMILO RONDEROS,Flyweight,4-1-0 (W-L-D),MMA
155,BEN ROTHWELL,Heavyweight,39-14-0 (W-L-D),MMA
156,KHALIL ROUNTREE JR.,Light Heavyweight,11-5-0 (W-L-D),MMA
157,JAIRZINHO ROZENSTRUIK,Heavyweight,12-3-0 (W-L-D),MMA
158,MONTSERRAT RUIZ,Women's Strawweight,10-2-0 (W-L-D),MMA
159,BENOIT SAINT DENIS,Welterweight,8-1-0 (W-L-D),MMA
160,OVINCE SAINT PREUX,Light Heavyweight,26-16-0 (W-L-D),MMA
161,AUGUSTO SAKAI,Heavyweight,15-4-1 (W-L-D),MMA
162,DIEGO SANCHEZ,Welterweight,32-13-0 (W-L-D),MMA
163,CORY SANDHAGEN,Bantamweight,14-4-0 (W-L-D),MMA
164,EDMEN SHAHBAZYAN,Middleweight,11-3-0 (W-L-D),MMA
165,CHASE SHERMAN,Heavyweight,15-10-0 (W-L-D),MMA
166,JACK SHORE,Bantamweight,16-0-0 (W-L-D),MMA
167,CHAS SKELLY,Featherweight,19-3-0 (W-L-D),MMA
168,DEVONTE SMITH,Lightweight,11-4-0 (W-L-D),MMA
169,LOUIS SMOLKA,Bantamweight,17-8-0 (W-L-D),MMA
170,PETER SOBOTTA,Welterweight,17-6-1 (W-L-D),MMA
171,JIN SOO SON,Lightweight,9-4-0 (W-L-D),MMA
172,PUNAHELE SORIANO,Middleweight,8-2-0 (W-L-D),MMA
173,RYAN SPANN,Light Heavyweight,21-7-0 (W-L-D),MMA
174,FELICIA SPENCER,Women's Featherweight,9-3-0 (W-L-D),MMA
175,LAUREANO STAROPOLI,Middleweight,9-5-0 (W-L-D),MMA
176,DARREN STEWART,Light Heavyweight,12-8-0 (W-L-D),MMA
177,JULIJA STOLIARENKO,Women's Bantamweight,9-7-1 (W-L-D),MMA
178,SEAN STRICKLAND,Middleweight,25-3-0 (W-L-D),MMA
179,TATIANA SUAREZ,Women's Strawweight,9-0-0 (W-L-D),MMA
180,JUSTIN SUMTER,Middleweight,7-2-0 (W-L-D),MMA
181,KHALID TAHA,Bantamweight,13-4-0 (W-L-D),MMA
182,BRAD TAVARES,Middleweight,19-7-0 (W-L-D),MMA
183,DUŠKO TODOROVIĆ,Middleweight,11-2-0 (W-L-D),MMA
184,MICHAEL TRIZANO,Featherweight,10-2-0 (W-L-D),MMA
185,JALIN TURNER,Lightweight,13-5-0 (W-L-D),MMA
186,MARCIN TYBURA,Heavyweight,22-7-0 (W-L-D),MMA
187,GILBERT URBINA,Middleweight,6-2-0 (W-L-D),MMA
188,GENARO VALDEZ,Lightweight,10-1-0 (W-L-D),MMA
189,TIMUR VALIEV,Bantamweight,18-3-0 (W-L-D),MMA
190,JARED VANDERAA,Heavyweight,12-8-0 (W-L-D),MMA
191,LANDO VANNATA,Featherweight,12-6-2 (W-L-D),MMA
192,MARVIN VETTORI,Light Heavyweight,18-5-1 (W-L-D),MMA
193,CHEYANNE VLISMAS,Women's Strawweight,7-2-0 (W-L-D),MMA
194,JOHNNY WALKER,Light Heavyweight,18-7-0 (W-L-D),MMA
195,EMILY WHITMIRE,Women's Flyweight,4-5-0 (W-L-D),MMA
196,ROBERT WHITTAKER,Middleweight,24-6-0 (W-L-D),MMA
197,KHAOS WILLIAMS,Welterweight,13-3-0 (W-L-D),MMA
198,JASON WITT,Welterweight,19-8-0 (W-L-D),MMA
199,NATHANIEL WOOD,Bantamweight,17-5-0 (W-L-D),MMA
200,KHAMA WORTHY,Lightweight,16-9-0 (W-L-D),MMA
201,JORDAN WRIGHT,Middleweight,12-3-0 (W-L-D),MMA
202,RANI YAHYA,Bantamweight,28-10-1 (W-L-D),MMA
203,SHANNA YOUNG,Women's Flyweight,9-5-0 (W-L-D),MMA
204,SHANE YOUNG,Featherweight,13-6-0 (W-L-D),MMA
205,SODIQ YUSUFF,Featherweight,12-2-0 (W-L-D),MMA
206,AIEMANN ZAHABI,Bantamweight,8-2-0 (W-L-D),MMA
207,ZACH ZANE,Featherweight,12-7-0 (W-L-D),MMA
208,DAVID ZAWADA,Welterweight,17-7-0 (W-L-D),MMA
209,SHAMIL ABDURAKHIMOV,Heavyweight,20-7-0 (W-L-D),Grappler
210,FABIO CHERANT,Light Heavyweight,7-4-0 (W-L-D),Grappler
211,CARLOS CONDIT,Welterweight,32-14-0 (W-L-D),Grappler
212,RAFAEL DOS ANJOS,Lightweight,31-13-0 (W-L-D),Grappler
213,RAFA GARCIA,Lightweight,14-2-0 (W-L-D),Grappler
214,MIKE GRUNDY,Featherweight,12-4-0 (W-L-D),Grappler
215,CHASE HOOPER,Featherweight,10-2-1 (W-L-D),Grappler
216,DAMON JACKSON,Featherweight,20-4-1 (W-L-D),Grappler
217,SABINA MAZO,Women's Flyweight,9-4-0 (W-L-D),Grappler
218,DARRICK MINNER,Featherweight,26-13-0 (W-L-D),Grappler
219,JOHNNY MUNOZ,Bantamweight,11-1-0 (W-L-D),Grappler
220,GUNNAR NELSON,Welterweight,18-5-1 (W-L-D),Grappler
221,ALAN PATRICK,Lightweight,15-3-0 (W-L-D),Grappler
222,JESSICA PENNE,Women's Strawweight,14-6-0 (W-L-D),Grappler
223,LARA PROCOPIO,Women's Flyweight,7-2-0 (W-L-D),Grappler
224,GREGORY RODRIGUES,Middleweight,11-4-0 (W-L-D),Grappler
225,BRUNO SILVA,Flyweight,12-5-2 (W-L-D),Grappler
226,JOE SOLECKI,Lightweight,11-3-0 (W-L-D),Grappler
227,TATIANA SUAREZ,Women's Strawweight,9-0-0 (W-L-D),Grappler
228,MIESHA TATE,Women's Flyweight,19-8-0 (W-L-D),Grappler
229,TAGIR ULANBEKOV,Flyweight,14-2-0 (W-L-D),Grappler
230,MARLON VERA,Bantamweight,19-7-1 (W-L-D),Grappler
231,CHRIS BARNETT,Heavyweight,22-8-0 (W-L-D),Taekwondo
232,FELIPE COLARES,Featherweight,10-3-0 (W-L-D),Taekwondo
233,CHARLIE ONTIVEROS,Lightweight,11-8-0 (W-L-D),Taekwondo
234,ELISE REED,Women's Strawweight,5-1-0 (W-L-D),Taekwondo
235,KB BHULLAR,Middleweight,8-2-0 (W-L-D),Kung Fu
236,MANDY BOHM,Women's Flyweight,7-1-0 (W-L-D),Kung Fu
237,KEVIN HOLLAND,Welterweight,22-7-0 (W-L-D),Kung Fu
238,MARKUS PEREZ,Middleweight,12-5-0 (W-L-D),Kung Fu
239,ANDREI ARLOVSKI,Heavyweight,34-20-0 (W-L-D),Sambo
240,ION CUTELABA,Light Heavyweight,16-6-1 (W-L-D),Sambo
241,ISLAM MAKHACHEV,Lightweight,22-1-0 (W-L-D),Sambo
242,SHAVKAT RAKHMONOV,Welterweight,15-0-0 (W-L-D),Sambo
243,SERGHEI SPIVAC,Heavyweight,14-3-0 (W-L-D),Sambo
244,MATT BROWN,Welterweight,25-19-0 (W-L-D),Brawler
245,PRISCILA CACHOEIRA,Women's Flyweight,11-4-0 (W-L-D),Brawler
246,MATT FREVOLA,Lightweight,9-3-1 (W-L-D),Brawler
247,JASMINE JASUDAVICIUS,Women's Flyweight,7-1-0 (W-L-D),Brawler
248,WILLIAM KNIGHT,Heavyweight,11-4-0 (W-L-D),Brawler
249,DERRICK LEWIS,Heavyweight,26-9-0 (W-L-D),Brawler
250,BRANDON ROYVAL,Flyweight,14-6-0 (W-L-D),Brawler
251,ALAN BAUDOT,Heavyweight,8-4-0 (W-L-D),Judo
252,FELIPE COLARES,Featherweight,10-3-0 (W-L-D),Judo
253,STEPHANIE EGGER,Women's Bantamweight,7-2-0 (W-L-D),Judo
254,BARTOSZ FABINSKI,Middleweight,15-5-0 (W-L-D),Judo
255,NICK HEIN,Lightweight,14-5-0 (W-L-D),Judo
256,JACOB KILBURN,Featherweight,8-4-0 (W-L-D),Judo
257,GIACOMO LEMOS,Heavyweight,6-0-0 (W-L-D),Judo
258,DALCHA LUNGIAMBULA,Middleweight,11-4-0 (W-L-D),Judo
259,LUANA PINHEIRO,Women's Strawweight,10-1-0 (W-L-D),Judo
260,AMANDA RIBAS,Women's Flyweight,11-2-0 (W-L-D),Judo
261,TABATHA RICCI,Women's Flyweight,6-1-0 (W-L-D),Judo
262,KETLEN VIEIRA,Women's Bantamweight,12-2-0 (W-L-D),Judo
263,TANNER BOSER,Heavyweight,20-8-1 (W-L-D),Karate
264,GIGA CHIKADZE,Featherweight,14-3-0 (W-L-D),Karate
265,MANON FIOROT,Women's Flyweight,9-1-0 (W-L-D),Karate
266,SERGEY KHANDOZHKO,Welterweight,28-6-1 (W-L-D),Karate
267,JACOB KILBURN,Featherweight,8-4-0 (W-L-D),Karate
268,NIKITA KRYLOV,Light Heavyweight,27-9-0 (W-L-D),Karate
269,MANA MARTINEZ,Bantamweight,9-3-0 (W-L-D),Karate
270,GUNNAR NELSON,Welterweight,18-5-1 (W-L-D),Karate
271,MARCIN PRACHNIO,Light Heavyweight,15-6-0 (W-L-D),Karate
272,BRUNO SOUZA,Featherweight,10-3-0 (W-L-D),Karate
273,GEORGES ST-PIERRE,Middleweight,26-2-0 (W-L-D),Karate
274,STEPHEN THOMPSON,Welterweight,16-6-1 (W-L-D),Karate
275,ALEXANDER VOLKOV,Heavyweight,34-10-0 (W-L-D),Karate
276,MICHELLE WATERSON,Women's Flyweight,18-9-0 (W-L-D),Karate
277,JAILTON ALMEIDA,Heavyweight,15-2-0 (W-L-D),Wrestler
278,CODY BRUNDAGE,Middleweight,7-2-0 (W-L-D),Wrestler
279,MICHAEL CHANDLER,Lightweight,23-7-0 (W-L-D),Wrestler
280,KHAMZAT CHIMAEV,Welterweight,11-0-0 (W-L-D),Wrestler
281,DEVIN CLARK,Heavyweight,13-6-0 (W-L-D),Wrestler
282,DOMINICK CRUZ,Bantamweight,24-3-0 (W-L-D),Wrestler
283,CHRISTOS GIAGOS,Lightweight,19-9-0 (W-L-D),Wrestler
284,JUSTIN GONZALES,Featherweight,9-0-0 (W-L-D),Wrestler
285,NOHELIN HERNANDEZ,Bantamweight,10-4-0 (W-L-D),Wrestler
286,MILES JOHNS,Bantamweight,12-2-0 (W-L-D),Wrestler
287,SARA MCMANN,Women's Bantamweight,13-6-0 (W-L-D),Wrestler
288,NICOLAE NEGUMEREANU,Light Heavyweight,12-1-0 (W-L-D),Wrestler
289,KENNEDY NZECHUKWU,Light Heavyweight,9-3-0 (W-L-D),Wrestler
290,ALEXANDR ROMANOV,Heavyweight,16-0-0 (W-L-D),Wrestler
291,ANDREW SANCHEZ,Middleweight,13-7-0 (W-L-D),Wrestler
292,MATT SAYLES,Lightweight,8-4-0 (W-L-D),Wrestler
293,ARMAN TSARUKYAN,Lightweight,18-2-0 (W-L-D),Wrestler
294,CHRISTIAN AGUILERA,Welterweight,14-8-0 (W-L-D),Boxing
295,JAILTON ALMEIDA,Heavyweight,15-2-0 (W-L-D),Boxing
296,CHRIS BARNETT,Heavyweight,22-8-0 (W-L-D),Boxing
297,TOM BREESE,Middleweight,12-3-0 (W-L-D),Boxing
298,LOUIS COSCE,Welterweight,7-1-0 (W-L-D),Boxing
299,DEIVESON FIGUEIREDO,Flyweight,21-2-1 (W-L-D),Boxing
300,LOOPY GODINEZ,Women's Strawweight,8-2-0 (W-L-D),Boxing
301,TRESEAN GORE,Middleweight,4-1-0 (W-L-D),Boxing
302,CARLSTON HARRIS,Welterweight,17-5-0 (W-L-D),Boxing
303,LI JINGLIANG,Welterweight,18-7-0 (W-L-D),Boxing
304,KAI KAMAKA,Featherweight,8-4-1 (W-L-D),Boxing
305,JI YEON KIM,Women's Flyweight,9-5-2 (W-L-D),Boxing
306,LUDOVIT KLEIN,Lightweight,18-4-0 (W-L-D),Boxing
307,AMANDA LEMOS,Women's Strawweight,11-2-1 (W-L-D),Boxing
308,AUSTIN LINGO,Featherweight,9-1-0 (W-L-D),Boxing
309,DALCHA LUNGIAMBULA,Middleweight,11-4-0 (W-L-D),Boxing
310,TUCKER LUTZ,Featherweight,12-2-0 (W-L-D),Boxing
311,DON'TALE MAYES,Heavyweight,10-4-0 (W-L-D),Boxing
312,GINA MAZANY,Women's Flyweight,7-6-0 (W-L-D),Boxing
313,MARYNA MOROZ,Women's Flyweight,11-3-0 (W-L-D),Boxing
314,MATHEUS NICOLAU,Flyweight,18-3-1 (W-L-D),Boxing
315,JUN YONG PARK,Middleweight,13-5-0 (W-L-D),Boxing
316,MATT SCHNELL,Flyweight,15-6-0 (W-L-D),Boxing
317,ISRAEL ADESANYA,Middleweight,22-1-0 (W-L-D),Freestyle
318,SARAH ALPAR,Women's Flyweight,9-6-0 (W-L-D),Freestyle
319,JULIO ARCE,Bantamweight,18-5-0 (W-L-D),Freestyle
320,TOM ASPINALL,Heavyweight,12-2-0 (W-L-D),Freestyle
321,OTTMAN AZAITAR,Lightweight,13-0-0 (W-L-D),Freestyle
322,IGNACIO BAHAMONDES,Lightweight,13-4-0 (W-L-D),Freestyle
323,MAYCEE BARBER,Women's Flyweight,10-2-0 (W-L-D),Freestyle
324,BRYAN BATTLE,Middleweight,8-1-0 (W-L-D),Freestyle
325,MARIO BAUTISTA,Bantamweight,9-2-0 (W-L-D),Freestyle
326,MIRSAD BEKTIC,Featherweight,13-4-0 (W-L-D),Freestyle
327,JOAQUIN BUCKLEY,Middleweight,14-4-0 (W-L-D),Freestyle
328,DAKOTA BUSH,Lightweight,8-4-0 (W-L-D),Freestyle
329,ALEX CACERES,Featherweight,19-13-0 (W-L-D),Freestyle
330,CYNTHIA CALVILLO,Women's Flyweight,9-4-1 (W-L-D),Freestyle
331,FRANK CAMACHO,Lightweight,22-9-0 (W-L-D),Freestyle
332,CARLOS CANDELARIO,Flyweight,8-1-0 (W-L-D),Freestyle
333,KHAMZAT CHIMAEV,Welterweight,11-0-0 (W-L-D),Freestyle
334,JESSICA-ROSE CLARK,Women's Bantamweight,11-7-0 (W-L-D),Freestyle
335,JAKE COLLIER,Heavyweight,13-7-0 (W-L-D),Freestyle
336,KEVIN CROOM,Bantamweight,21-15-0 (W-L-D),Freestyle
337,JOSH CULIBAO,Featherweight,9-1-1 (W-L-D),Freestyle
338,CHRIS DAUKAUS,Heavyweight,12-5-0 (W-L-D),Freestyle
339,MONTANA DE LA ROSA,Women's Flyweight,12-7-1 (W-L-D),Freestyle
340,MARC DIAKIESE,Lightweight,15-5-0 (W-L-D),Freestyle
341,DREW DOBER,Lightweight,24-11-0 (W-L-D),Freestyle
342,AJ DOBSON,Middleweight,6-1-0 (W-L-D),Freestyle
343,MERAB DVALISHVILI,Bantamweight,14-4-0 (W-L-D),Freestyle
344,FRANKIE EDGAR,Bantamweight,23-10-1 (W-L-D),Freestyle
345,DARREN ELKINS,Featherweight,28-10-0 (W-L-D),Freestyle
346,TIM ELLIOTT,Flyweight,19-12-1 (W-L-D),Freestyle
347,JOSH EMMETT,Featherweight,17-2-0 (W-L-D),Freestyle
348,MOVSAR EVLOEV,Featherweight,15-0-0 (W-L-D),Freestyle
349,TONY FERGUSON,Lightweight,26-8-0 (W-L-D),Freestyle
350,JINH YU FREY,Women's Strawweight,11-6-0 (W-L-D),Freestyle
351,CODY GARBRANDT,Flyweight,12-5-0 (W-L-D),Freestyle
352,STEVE GARCIA,Lightweight,12-4-0 (W-L-D),Freestyle
353,TREVIN GILES,Welterweight,14-4-0 (W-L-D),Freestyle
354,MICHEAL GILLMORE,Welterweight,6-5-0 (W-L-D),Freestyle
355,RICKY GLENN,Lightweight,22-6-2 (W-L-D),Freestyle
356,JARED GOODEN,Welterweight,18-7-0 (W-L-D),Freestyle
357,JARED GORDON,Lightweight,18-5-0 (W-L-D),Freestyle
358,GABRIEL GREEN,Welterweight,11-3-0 (W-L-D),Freestyle
359,JORDAN GRIFFIN,Featherweight,18-9-0 (W-L-D),Freestyle
360,CLAY GUIDA,Lightweight,37-19-0 (W-L-D),Freestyle
361,CHRIS GUTIERREZ,Bantamweight,17-3-2 (W-L-D),Freestyle
362,WALT HARRIS,Heavyweight,13-10-0 (W-L-D),Freestyle
363,ED HERMAN,Light Heavyweight,27-15-0 (W-L-D),Freestyle
364,CARLOS HERNANDEZ,Flyweight,8-1-0 (W-L-D),Freestyle
365,SCOTT HOLTZMAN,Lightweight,14-5-0 (W-L-D),Freestyle
366,AUSTIN HUBBARD,Lightweight,13-6-0 (W-L-D),Freestyle
367,SAM HUGHES,Women's Strawweight,6-4-0 (W-L-D),Freestyle
368,DUSTIN JACOBY,Light Heavyweight,17-5-1 (W-L-D),Freestyle
369,TREVIN JONES,Bantamweight,13-8-0 (W-L-D),Freestyle
370,SAIDYOKUB KAKHRAMONOV,Bantamweight,9-2-0 (W-L-D),Freestyle
371,CALVIN KATTAR,Featherweight,23-5-0 (W-L-D),Freestyle
372,BRIAN KELLEHER,Featherweight,24-13-0 (W-L-D),Freestyle
373,TONY KELLEY,Bantamweight,8-2-0 (W-L-D),Freestyle
374,DERRICK KRANTZ,Welterweight,24-12-0 (W-L-D),Freestyle
375,RICARDO LAMAS,Featherweight,20-8-0 (W-L-D),Freestyle
376,NATE LANDWEHR,Featherweight,15-4-0 (W-L-D),Freestyle
377,RONNIE LAWRENCE,Bantamweight,8-1-0 (W-L-D),Freestyle
378,ZVIAD LAZISHVILI,Bantamweight,13-1-0 (W-L-D),Freestyle
379,JORDAN LEAVITT,Lightweight,10-1-0 (W-L-D),Freestyle
380,LEAH LETSON,Women's Featherweight,5-3-0 (W-L-D),Freestyle
381,BEVON LEWIS,Middleweight,8-3-0 (W-L-D),Freestyle
382,ROQUE MARTINEZ,Heavyweight,15-8-2 (W-L-D),Freestyle
383,JONATHAN MARTINEZ,Bantamweight,15-4-0 (W-L-D),Freestyle
384,JAKE MATTHEWS,Welterweight,17-5-0 (W-L-D),Freestyle
385,COURT MCGEE,Welterweight,22-10-0 (W-L-D),Freestyle
386,GERALD MEERSCHAERT,Middleweight,34-15-0 (W-L-D),Freestyle
387,ALONZO MENIFIELD,Light Heavyweight,11-3-0 (W-L-D),Freestyle
388,NICCO MONTANO,Women's Bantamweight,5-3-0 (W-L-D),Freestyle
389,JAMIE MULLARKEY,Lightweight,14-5-0 (W-L-D),Freestyle
390,JOHNNY MUNOZ,Bantamweight,11-1-0 (W-L-D),Freestyle
391,VINCE MURDOCK,Featherweight,12-4-0 (W-L-D),Freestyle
392,RAQUEL PENNINGTON,Women's Bantamweight,14-9-0 (W-L-D),Freestyle
393,ALEX PEREZ,Flyweight,24-6-0 (W-L-D),Freestyle
394,ANDRE PETROSKI,Middleweight,7-2-0 (W-L-D),Freestyle
395,VINC PICHEL,Lightweight,14-3-0 (W-L-D),Freestyle
396,JAMIE PICKETT,Middleweight,13-7-0 (W-L-D),Freestyle
397,DANIEL PINEDA,Featherweight,27-14-0 (W-L-D),Freestyle
398,NIKO PRICE,Welterweight,15-6-0 (W-L-D),Freestyle
399,ALEKSANDAR RAKIĆ,Light Heavyweight,14-2-0 (W-L-D),Freestyle
400,RAY RODRIGUEZ,Bantamweight,16-8-0 (W-L-D),Freestyle
401,YAIR RODRIGUEZ,Featherweight,14-3-0 (W-L-D),Freestyle
402,DANIEL RODRIGUEZ,Welterweight,16-2-0 (W-L-D),Freestyle
403,CHARLES ROSA,Lightweight,14-7-0 (W-L-D),Freestyle
404,LUKE SANDERS,Featherweight,13-5-0 (W-L-D),Freestyle
405,MATTHEW SEMELSBERGER,Welterweight,10-3-0 (W-L-D),Freestyle
406,JAMEY SIMMONS,Bantamweight,7-4-0 (W-L-D),Freestyle
407,ANTHONY SMITH,Light Heavyweight,36-16-0 (W-L-D),Freestyle
408,SEAN SORIANO,Featherweight,14-8-0 (W-L-D),Freestyle
409,CODY STAMANN,Bantamweight,19-5-1 (W-L-D),Freestyle
410,JEREMY STEPHENS,Lightweight,28-19-0 (W-L-D),Freestyle
411,JESSE STRADER,Bantamweight,5-3-0 (W-L-D),Freestyle
412,MARK STRIEGL,Featherweight,18-4-0 (W-L-D),Freestyle
413,DEQUAN TOWNSEND,Middleweight,21-12-0 (W-L-D),Freestyle
414,RICKY TURCIOS,Bantamweight,12-2-0 (W-L-D),Freestyle
415,KAMARU USMAN,Welterweight,20-1-0 (W-L-D),Freestyle
416,KAZULA VARGAS,Lightweight,12-5-0 (W-L-D),Freestyle
417,LUIGI VENDRAMINI,Lightweight,9-3-0 (W-L-D),Freestyle
418,CJ VERGARA,Flyweight,10-3-1 (W-L-D),Freestyle
419,JAMES WALLACE,Lightweight,9-2-0 (W-L-D),Freestyle
420,JORDAN WILLIAMS,Welterweight,9-6-0 (W-L-D),Freestyle
421,MATT WIMAN,Lightweight,16-10-0 (W-L-D),Freestyle
422,TYRON WOODLEY,Welterweight,19-7-1 (W-L-D),Freestyle
423,SEAN WOODSON,Featherweight,9-1-0 (W-L-D),Freestyle
424,YOUSSEF ZALAL,Featherweight,10-5-0 (W-L-D),Freestyle
425,ZHALGAS ZHUMAGULOV,Flyweight,14-6-0 (W-L-D),Freestyle
426,KLIDSON ABREU,Light Heavyweight,15-4-0 (W-L-D),Brazilian Jiu-Jitsu
427,ROGERIO BONTORIN,Flyweight,17-4-0 (W-L-D),Brazilian Jiu-Jitsu
428,SEAN BRADY,Welterweight,15-0-0 (W-L-D),Brazilian Jiu-Jitsu
429,GILBERT BURNS,Welterweight,20-5-0 (W-L-D),Brazilian Jiu-Jitsu
430,MISHA CIRKUNOV,Middleweight,15-8-0 (W-L-D),Brazilian Jiu-Jitsu
431,VANESSA DEMOPOULOS,Women's Strawweight,7-4-0 (W-L-D),Brazilian Jiu-Jitsu
432,MACKENZIE DERN,Women's Strawweight,12-2-0 (W-L-D),Brazilian Jiu-Jitsu
433,NICK DIAZ,Middleweight,26-11-0 (W-L-D),Brazilian Jiu-Jitsu
434,MICKEY GALL,Welterweight,7-5-0 (W-L-D),Brazilian Jiu-Jitsu
435,KYUNG HO KANG,Bantamweight,17-9-0 (W-L-D),Brazilian Jiu-Jitsu
436,MATHEUS NICOLAU,Flyweight,18-3-1 (W-L-D),Brazilian Jiu-Jitsu
437,RAULIAN PAIVA,Bantamweight,21-4-0 (W-L-D),Brazilian Jiu-Jitsu
438,MICHEL PRAZERES,Welterweight,26-4-0 (W-L-D),Brazilian Jiu-Jitsu
439,PAT SABATINI,Featherweight,17-3-0 (W-L-D),Brazilian Jiu-Jitsu
440,MATT SCHNELL,Flyweight,15-6-0 (W-L-D),Brazilian Jiu-Jitsu
441,GABRIEL SILVA,Bantamweight,7-2-0 (W-L-D),Brazilian Jiu-Jitsu
442,LIVINHA SOUZA,Women's Strawweight,14-4-0 (W-L-D),Brazilian Jiu-Jitsu
443,RONALDO SOUZA,Middleweight,26-10-0 (W-L-D),Brazilian Jiu-Jitsu
444,NIKLAS STOLZE,Welterweight,0-2-0 (W-L-D),Brazilian Jiu-Jitsu
445,CUB SWANSON,Featherweight,28-12-0 (W-L-D),Brazilian Jiu-Jitsu
446,ILIA TOPURIA,Lightweight,12-0-0 (W-L-D),Brazilian Jiu-Jitsu
447,RODOLFO VIEIRA,Middleweight,8-1-0 (W-L-D),Brazilian Jiu-Jitsu
448,ALEXANDER VOLKOV,Heavyweight,34-10-0 (W-L-D),Brazilian Jiu-Jitsu
449,JEREMIAH WELLS,Welterweight,10-2-0 (W-L-D),Brazilian Jiu-Jitsu
450,ROBERT WHITTAKER,Middleweight,24-6-0 (W-L-D),Brazilian Jiu-Jitsu
451,ANTONIO CARLOS JUNIOR,Middleweight,11-5-0 (W-L-D),Boxer
452,DEVIN CLARK,Heavyweight,13-6-0 (W-L-D),Boxer
453,JARJIS DANHO,Heavyweight,7-1-1 (W-L-D),Boxer
454,JUNIOR DOS SANTOS,Heavyweight,21-9-0 (W-L-D),Boxer
455,ANDRE EWELL,Featherweight,17-9-0 (W-L-D),Boxer
456,ANDRE FIALHO,Welterweight,16-4-0 (W-L-D),Boxer
457,RAFA GARCIA,Lightweight,14-2-0 (W-L-D),Boxer
458,CHRISTOS GIAGOS,Lightweight,19-9-0 (W-L-D),Boxer
459,JUSTIN GONZALES,Featherweight,9-0-0 (W-L-D),Boxer
460,NOHELIN HERNANDEZ,Bantamweight,10-4-0 (W-L-D),Boxer
461,MILES JOHNS,Bantamweight,12-2-0 (W-L-D),Boxer
462,TONY JOHNSON,Light Heavyweight,7-2-0 (W-L-D),Boxer
463,JUSTIN LEDET,Light Heavyweight,9-4-0 (W-L-D),Boxer
464,PINGYUAN LIU,Bantamweight,13-7-0 (W-L-D),Boxer
465,JACK MARSHMAN,Middleweight,23-10-0 (W-L-D),Boxer
466,JORGE MASVIDAL,Welterweight,35-16-0 (W-L-D),Boxer
467,MOLLY MCCANN,Women's Flyweight,12-4-0 (W-L-D),Boxer
468,ALEJANDRO PÉREZ,Featherweight,23-9-1 (W-L-D),Boxer
469,DOMINGO PILARTE,Bantamweight,8-3-0 (W-L-D),Boxer
