,Name,Category,Record,Style
1437,VICTOR ALTAMIRANO,Flyweight,1-1-0 (W-L-D),Striker
1438,JOEL ÁLVAREZ,Lightweight,19-3-0 (W-L-D),Striker
1439,NINA ANSAROFF,Women's Strawweight,10-7-0 (W-L-D),Striker
1440,ANTONIO ARROYO,Middleweight,9-5-0 (W-L-D),Striker
1441,ABU AZAITAR,Middleweight,14-3-1 (W-L-D),Striker
1442,BRYAN BARBERENA,Welterweight,17-8-0 (W-L-D),Striker
1443,EDSON BARBOZA,Featherweight,22-11-0 (W-L-D),Striker
1444,MARC-ANDRE BARRIAULT,Middleweight,14-5-0 (W-L-D),Striker
1445,JAVID BASHARAT,Bantamweight,12-0-0 (W-L-D),Striker
1446,DIANA BELBITA,Women's Strawweight,14-7-0 (W-L-D),Striker
1447,GABRIEL BENITEZ,Featherweight,22-11-0 (W-L-D),Striker
1448,VIACHESLAV BORSHCHEV,Lightweight,6-2-0 (W-L-D),Striker
1449,MIKE BREEDEN,Lightweight,10-5-0 (W-L-D),Striker
1450,JOANDERSON BRITO,Featherweight,13-3-1 (W-L-D),Striker
1451,GUIDO CANNETTI,Bantamweight,9-7-0 (W-L-D),Striker
1452,JARED CANNONIER,Middleweight,15-5-0 (W-L-D),Striker
1453,PAULO COSTA,Light Heavyweight,13-2-0 (W-L-D),Striker
1454,HAKEEM DAWODU,Featherweight,13-2-1 (W-L-D),Striker
1455,MARCOS ROGERIO DE LIMA,Heavyweight,19-9-1 (W-L-D),Striker
1456,NATE DIAZ,Welterweight,21-13-0 (W-L-D),Striker
1457,SHANA DOBSON,Women's Flyweight,4-5-0 (W-L-D),Striker
1458,CODY DURDEN,Flyweight,12-4-1 (W-L-D),Striker
1459,JOSELYNE EDWARDS,Women's Bantamweight,8-1-0 (W-L-D),Striker
1460,JULIAN EROSA,Featherweight,27-10-0 (W-L-D),Striker
1461,JESSICA EYE,Women's Flyweight,15-10-0 (W-L-D),Striker
1462,CARLOS FELIPE,Heavyweight,11-2-0 (W-L-D),Striker
1463,AJ FLETCHER,Welterweight,9-1-0 (W-L-D),Striker
1464,ROB FONT,Bantamweight,19-6-0 (W-L-D),Striker
1465,MAURICE GREENE,Heavyweight,9-7-0 (W-L-D),Striker
1466,MAXIM GRISHIN,Heavyweight,32-9-2 (W-L-D),Striker
1467,ALEXANDER GUSTAFSSON,Heavyweight,18-7-0 (W-L-D),Striker
1468,GREG HARDY,Heavyweight,7-5-0 (W-L-D),Striker
1469,ANTHONY HERNANDEZ,Middleweight,9-2-0 (W-L-D),Striker
1470,NASSOURDINE IMAVOV,Middleweight,11-3-0 (W-L-D),Striker
1471,MIKE JACKSON,Welterweight,1-1-0 (W-L-D),Striker
1472,BRANDON JENKINS,Lightweight,15-9-0 (W-L-D),Striker
1473,CHARLES JOURDAIN,Featherweight,13-4-1 (W-L-D),Striker
1474,SILVANA JUAREZ,Women's Strawweight,6-4-0 (W-L-D),Striker
1475,SONG KENAN,Welterweight,18-6-0 (W-L-D),Striker
1476,DANIEL DA SILVA,Flyweight,11-3-0 (W-L-D),Striker
1477,LINA LANSBERG,Women's Bantamweight,10-6-0 (W-L-D),Striker
1478,NATAN LEVY,Lightweight,7-1-0 (W-L-D),Striker
1479,JOHN LINEKER,Bantamweight,31-9-0 (W-L-D),Striker
1480,PHILIPE LINS,Light Heavyweight,15-5-0 (W-L-D),Striker
1481,ARIANE LIPSKI,Women's Flyweight,14-7-0 (W-L-D),Striker
1482,LOMA LOOKBOONMEE,Women's Strawweight,6-3-0 (W-L-D),Striker
1483,GUSTAVO LOPEZ,Bantamweight,12-6-1 (W-L-D),Striker
1484,JENNIFER MAIA,Women's Flyweight,19-9-1 (W-L-D),Striker
1485,JOHN MAKDESSI,Lightweight,18-7-0 (W-L-D),Striker
1486,JIMI MANUWA,Light Heavyweight,17-6-0 (W-L-D),Striker
1487,SABINA MAZO,Women's Flyweight,9-4-0 (W-L-D),Striker
1488,TIM MEANS,Welterweight,32-12-1 (W-L-D),Striker
1489,MICHAEL MORALES,Welterweight,13-0-0 (W-L-D),Striker
1490,OMAR ANTONIO MORALES FERRER,Lightweight,11-2-0 (W-L-D),Striker
1491,ALLAN NASCIMENTO,Flyweight,18-6-0 (W-L-D),Striker
1492,GEOFF NEAL,Welterweight,14-4-0 (W-L-D),Striker
1493,FRANCIS NGANNOU,Heavyweight,17-3-0 (W-L-D),Striker
1494,ISTELA NUNES,Women's Strawweight,6-3-0 (W-L-D),Striker
1495,AMANDA NUNES,Women's Bantamweight,21-5-0 (W-L-D),Striker
1496,VOLKAN OEZDEMIR,Light Heavyweight,17-6-0 (W-L-D),Striker
1497,SAIMON OLIVEIRA,Bantamweight,18-4-0 (W-L-D),Striker
1498,DAVID ONAMA,Featherweight,1-1-0 (W-L-D),Striker
1499,BRIAN ORTEGA,Featherweight,15-2-0 (W-L-D),Striker
1500,ODE' OSBOURNE,Flyweight,10-4-0 (W-L-D),Striker
1501,JOSH PARISIAN,Heavyweight,14-5-0 (W-L-D),Striker
1502,MICHEL PEREIRA,Welterweight,27-11-0 (W-L-D),Striker
1503,MIKE PERRY,Welterweight,14-8-0 (W-L-D),Striker
1504,JOHN PHILLIPS,Middleweight,22-11-0 (W-L-D),Striker
1505,SANTIAGO PONZINIBBIO,Welterweight,29-5-0 (W-L-D),Striker
1506,ELISE REED,Women's Strawweight,5-1-0 (W-L-D),Striker
1507,BRAD RIDDELL,Lightweight,10-2-0 (W-L-D),Striker
1508,DANNY ROBERTS,Welterweight,18-6-0 (W-L-D),Striker
1509,PIERA RODRIGUEZ,Women's Strawweight,2-0-0 (W-L-D),Striker
1510,RONG ZHU,Lightweight,21-5-0 (W-L-D),Striker
1511,LUIS SALDANA,Featherweight,16-7-0 (W-L-D),Striker
1512,THIAGO SANTOS,Light Heavyweight,22-10-0 (W-L-D),Striker
1513,TAKASHI SATO,Welterweight,16-5-0 (W-L-D),Striker
1514,MATT SAYLES,Lightweight,8-4-0 (W-L-D),Striker
1515,LEON SHAHBAZYAN,Welterweight,7-1-0 (W-L-D),Striker
1516,MAYRA BUENO SILVA,Women's Bantamweight,8-2-1 (W-L-D),Striker
1517,BRUNO SILVA,Middleweight,22-7-0 (W-L-D),Striker
1518,DARKO STOSIC,Light Heavyweight,13-4-0 (W-L-D),Striker
1519,SUMUDAERJI,Flyweight,16-4-0 (W-L-D),Striker
1520,JUSTIN TAFA,Heavyweight,5-3-0 (W-L-D),Striker
1521,DANIEL TEYMUR,Featherweight,7-4-0 (W-L-D),Striker
1522,DENIS TIULIULIN,Middleweight,10-6-0 (W-L-D),Striker
1523,ZUBAIRA TUKHUGOV,Featherweight,20-5-1 (W-L-D),Striker
1524,IKE VILLANUEVA,Light Heavyweight,18-14-0 (W-L-D),Striker
1525,BROK WEAVER,Lightweight,15-6-0 (W-L-D),Striker
1526,JEREMIAH WELLS,Welterweight,10-2-0 (W-L-D),Striker
1527,YAN XIAONAN,Women's Strawweight,15-3-0 (W-L-D),Striker
1528,HU YAOZONG,Middleweight,3-3-0 (W-L-D),Striker
1529,PAUL CRAIG,Light Heavyweight,16-4-1 (W-L-D),Kung-Fu
1530,JUAN ADAMS,Heavyweight,5-3-0 (W-L-D),MMA
1531,ZARRUKH ADASHEV,Flyweight,4-3-0 (W-L-D),MMA
1532,KEVIN AGUILAR,Featherweight,17-5-0 (W-L-D),MMA
1533,BILL ALGEO,Featherweight,15-6-0 (W-L-D),MMA
1534,ARNOLD ALLEN,Featherweight,18-1-0 (W-L-D),MMA
1535,BRENDAN ALLEN,Middleweight,18-5-0 (W-L-D),MMA
1536,RAFAEL ALVES,Lightweight,20-10-0 (W-L-D),MMA
1537,SAM ALVEY,Light Heavyweight,33-17-1 (W-L-D),MMA
1538,ALEN AMEDOVSKI,Middleweight,8-2-0 (W-L-D),MMA
1539,ERYK ANDERS,Middleweight,14-5-0 (W-L-D),MMA
1540,MEGAN ANDERSON,Women's Featherweight,11-5-0 (W-L-D),MMA
1541,MAGOMED ANKALAEV,Light Heavyweight,17-1-0 (W-L-D),MMA
1542,VIVIANE ARAUJO,Women's Flyweight,10-3-0 (W-L-D),MMA
1543,ASKAR ASKAR,Featherweight,11-1-0 (W-L-D),MMA
1544,BEN ASKREN,Welterweight,19-2-0 (W-L-D),MMA
1545,HUNTER AZURE,Bantamweight,9-2-0 (W-L-D),MMA
1546,MIGUEL BAEZA,Welterweight,10-3-0 (W-L-D),MMA
1547,MELSIK BAGHDASARYAN,Featherweight,3-0-0 (W-L-D),MMA
1548,DANILO BELLUARDO,Lightweight,12-5-0 (W-L-D),MMA
1549,KENNETH BERGH,Light Heavyweight,6-0-0 (W-L-D),MMA
1550,JAN BŁACHOWICZ,Light Heavyweight,28-9-0 (W-L-D),MMA
1551,CURTIS BLAYDES,Heavyweight,16-3-0 (W-L-D),MMA
1552,DENYS BONDAR,Flyweight,16-4-0 (W-L-D),MMA
1553,RAY BORG,Bantamweight,13-5-0 (W-L-D),MMA
1554,CAIO BORRALHO,Middleweight,11-1-0 (W-L-D),MMA
1555,POLIANA BOTELHO,Women's Flyweight,8-4-0 (W-L-D),MMA
1556,RAMIZ BRAHIMAJ,Welterweight,10-4-0 (W-L-D),MMA
1557,TJ BROWN,Lightweight,16-8-0 (W-L-D),MMA
1558,SHANE BURGOS,Featherweight,14-3-0 (W-L-D),MMA
1559,VINCE CACHERO,Bantamweight,7-4-0 (W-L-D),MMA
1560,ALEKSA CAMUR,Light Heavyweight,6-2-0 (W-L-D),MMA
1561,CORTNEY CASEY,Women's Flyweight,10-9-0 (W-L-D),MMA
1562,JOHN CASTANEDA,Bantamweight,19-5-0 (W-L-D),MMA
1563,DANNY CHAVEZ,Featherweight,11-4-1 (W-L-D),MMA
